# Rime user dictionary
#@/db_name	clover
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	5226
#@/user_id	9a37928f-410e-4e25-b28a-7b53c5089780
dou xuan ze 	都选择	c=1 d=1 t=4885
dou yao 	都要	c=1 d=1 t=2542
dou zhe yang 	都这样	c=1 d=1 t=2647
dou zi 	豆子	c=0 d=0.1 t=892
dou zi a 	豆子啊	c=1 d=1 t=893
du 	读	c=2 d=1 t=3548
du bo 	读博	c=1 d=1 t=4225
du dang 	读档	c=1 d=1 t=1767
du jiao shou 	独角兽	c=1 d=1 t=1329
du li 	独立	c=2 d=1.03707 t=4419
du ren 	度人	c=0 d=0.1 t=3511
du xie 	读写	c=2 d=1.00118 t=1673
du yi wu er de 	独一无二的	c=1 d=1 t=841
du zi 	肚子	c=1 d=1 t=1389
duan le 	短了	c=1 d=1 t=4976
duan nai 	断奶	c=1 d=1 t=699
dui 	对	c=12 d=1.00005 t=4715
dui bi 	对比	c=1 d=1 t=3529
dui bu qi 	对不起	c=1 d=1 t=4819
dui fang 	对方	c=3 d=1 t=3970
dui fu 	对付	c=1 d=1 t=58
dui nei 	对内	c=1 d=1 t=904
dui ni 	对你	c=1 d=1 t=1442
dui qi 	对其	c=1 d=1 t=1514
dui wai 	对外	c=1 d=1 t=902
dui xiang 	对象	c=4 d=1.96864 t=4586
dui ying 	对应	c=1 d=1 t=2337
dui yu 	对于	c=2 d=1.94649 t=2295
dui zhao 	对照	c=1 d=1 t=2877
duo 	多	c=1 d=1.00002 t=2866
duo a 	多啊	c=0 d=0.1 t=2841
duo chi dian 	多吃点	c=1 d=1 t=4219
duo da 	多大	c=0 d=0.1 t=184
duo dian 	多点	c=1 d=1 t=540
duo ge 	多个	c=2 d=1.2032 t=2456
duo ge wen jian 	多个文件	c=1 d=1 t=2077
duo he dian 	多喝点	c=1 d=1 t=2870
duo jiu 	多久	c=1 d=1 t=4025
duo le 	多了	c=1 d=1 t=5044
duo le qu le 	多了去了	c=1 d=1 t=4343
duo shao ci 	多少次	c=1 d=1 t=2541
duo shao du 	多少度	c=1 d=1 t=245
e le 	饿了	c=1 d=1 t=1877
e tou 	额头	c=1 d=1 t=578
e yu 	俄语	c=3 d=2.51982 t=2902
en 	嗯	c=2 d=1.11765 t=1187
en ne 	嗯呢	c=1 d=1 t=3565
en ne 	恩呢	c=1 d=1 t=162
er 	儿	c=1 d=1 t=1357
er 	而	c=1 d=1 t=2362
er nian ji 	二年级	c=1 d=1 t=4590
er qie 	而且	c=3 d=1.91995 t=1692
er xing 	而行	c=1 d=1 t=394
fa 	发	c=2 d=2.02529 t=223
fa guo 	发过	c=1 d=1 t=1615
fa guo 	法国	c=1 d=1 t=1614
fa le 	发了	c=0 d=0.1 t=1153
fa ni 	罚你	c=1 d=1 t=4841
fa qing 	发情	c=5 d=1.00544 t=2884
fa qing qi 	发情期	c=1 d=1 t=1299
fa shen jing 	发神经	c=1 d=1 t=1871
fa sheng 	发生	c=2 d=1 t=3785
fa sheng le 	发生了	c=2 d=1.94649 t=3761
fa wo de 	发我的	c=1 d=1 t=188
fa xian 	发现	c=0 d=0.1 t=986
fa xian shi 	发现是	c=1 d=1 t=77
fa zhan 	发展	c=1 d=1 t=5099
fan 	饭	c=2 d=1 t=5060
